advert_id;source;title;make;model;year;engine;gearbox;cc;power;power_kw;mileage;currency;price;estimated_price;save_diff;extra_charge;discount;increase;price_in_eur;estimated_price_in_eur;save_diff_in_eur;extra_charge_in_eur;equipment;url;created_on;updated_on
396293365-mobile.de;mobile.de;BMW X3 M40 d AC Schnitzer AHK Pano ACC Sitzklima H/K;BMW;X3;2019;Diesel;Automatic;0;326;240;55972;EUR;46930;48516;1586;0;3.27;0;46930;48516;1586;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=396293365&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
399901219-mobile.de;mobile.de;BMW 440i Gran Coupé MSport xDrive/Leder/H&K/GARANTIE;BMW;440;2019;Petrol;Automatic;0;326;240;35000;EUR;37999;41516;3517;0;8.47;0;37999;41516;3517;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=399901219&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401654615-mobile.de;mobile.de;BMW 440i Gran Coupé M Sport A M Sport;BMW;440;2018;Petrol;Automatic;0;326;240;69000;EUR;35490;37366;1876;0;5.02;0;35490;37366;1876;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401654615&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401726013-mobile.de;mobile.de;BMW M240i Steptronic Coupé -;BMW;M240;2019;Petrol;Automatic;0;340;250;83000;EUR;34900;36300;1400;0;3.86;0;34900;36300;1400;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401726013&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401723293-mobile.de;mobile.de;Opel Grandland Ultimate 1.6 AT/LED/Navi/360°Kamera/Sh;Opel;Grandland X;2020;Petrol;Automatic;0;181;133;31851;EUR;25880;26650;770;0;2.89;0;25880;26650;770;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401723293&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401702060-mobile.de;mobile.de;Mazda MX-5 RF 184PS - Recaro, BOSE, PDC Kamera, Matrix;Mazda;MX5;2021;Petrol;Manual;0;184;135;48492;EUR;25989;27066;1077;0;3.98;0;25989;27066;1077;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401702060&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401695319-mobile.de;mobile.de;Opel Grandland X Business Elegance Plug-in-Hybrid*AT;Opel;Grandland X;2021;NotFound;Automatic;0;224;165;18802;EUR;25490;26650;1160;0;4.35;0;25490;26650;1160;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401695319&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401653740-mobile.de;mobile.de;Audi A3 Cabriolet 40 TFSI quattro S line LED;Audi;A3;2020;Petrol;Automatic;0;190;140;90550;EUR;25380;28616;3236;0;11.31;0;25380;28616;3236;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401653740&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401326607-mobile.de;mobile.de;BMW 118i M-Sport Automatik+LED+18+Kamera+SHZ+1. HD;BMW;118;2020;Petrol;Automatic;0;140;103;41900;EUR;25590;25133;0;457;0;1.82;25590;25133;0;457;;https://suchen.mobile.de/fahrzeuge/details.html?id=401326607&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
398595724-mobile.de;mobile.de;BMW 120d xDrive Sport-Line NAV+LED+PANO+18ZO+WLAN+PP;BMW;120;2020;Diesel;Automatic;0;190;140;72450;EUR;25749;28416;2667;0;9.39;0;25749;28416;2667;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=398595724&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
400682750-mobile.de;mobile.de;Mitsubishi Eclipse Cross 2.4 PHEV Edition 4WD HUD Navi LED;Mitsubishi;Eclipse Cross;2021;NotFound;Automatic;0;188;138;56205;EUR;25200;25550;350;0;1.37;0;25200;25550;350;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=400682750&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
389335566-mobile.de;mobile.de;Opel Grandland Hybrid Ultimate 300PS,360°,ACC,Allwett;Opel;Grandland X;2022;NotFound;Automatic;0;300;221;7900;EUR;29950;35383;5433;0;15.35;0;29950;35383;5433;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=389335566&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401709620-mobile.de;mobile.de;BMW  X3 xDrive30e;BMW;X3;2022;NotFound;Automatic;0;397;292;41000;EUR;49500;66650;17150;0;25.73;0;49500;66650;17150;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401709620&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401717528-mobile.de;mobile.de;BMW M340d xDrive Touring Auto Headup Standh. Adap. F;BMW;M340;2022;Diesel;Automatic;0;340;250;67186;EUR;49930;55300;5370;0;9.71;0;49930;55300;5370;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401717528&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401653553-mobile.de;mobile.de;Mazda MX-5 1.8 Sendo Roadster Coupe 1.Hd*NAVI*Hardtop*;Mazda;MX5;2014;Petrol;Manual;0;126;93;29500;EUR;15900;18333;2433;0;13.27;0;15900;18333;2433;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401653553&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401677480-mobile.de;mobile.de;Suzuki (SX4) S-Cross 1.6 DDiS Comfort 4WD Comfort;Suzuki;SX4 S-Cross;2015;Diesel;Manual;0;120;88;148000;EUR;9500;10916;1416;0;12.97;0;9500;10916;1416;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401677480&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401639926-mobile.de;mobile.de;Suzuki (SX4) S-Cross 1.6 DDiS Comfort+ ALLGRIP Comfort+;Suzuki;SX4 S-Cross;2017;Diesel;Manual;0;120;88;113100;EUR;15640;13766;0;1874;0;13.61;15640;13766;0;1874;;https://suchen.mobile.de/fahrzeuge/details.html?id=401639926&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401662903-mobile.de;mobile.de;Mazda MX-5 Exclusive-Line 1.Hand/Leder/Navi/ Shz;Mazda;MX5;2016;Petrol;Manual;0;131;96;22874;EUR;17999;21200;3201;0;15.10;0;17999;21200;3201;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401662903&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401715827-mobile.de;mobile.de;Abarth 595 Competizione *2.H *Carbon *ESTETICO *Schale;Abarth;595C;2017;Petrol;Manual;0;179;132;29691;EUR;20900;20733;0;167;0;0.81;20900;20733;0;167;;https://suchen.mobile.de/fahrzeuge/details.html?id=401715827&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401719041-mobile.de;mobile.de;Mazda MX-5 2.0 Sports-Line + BOSE + LED +;Mazda;MX5;2017;Petrol;Manual;0;160;118;26146;EUR;20450;21866;1416;0;6.48;0;20450;21866;1416;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401719041&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401686554-mobile.de;mobile.de;Mazda MX-5 2.0 Sports-Line *NAVI*TEMPO*SHZ*PDC*;Mazda;MX5;2017;Petrol;Manual;0;160;118;72333;EUR;20690;20733;43;0;0.21;0;20690;20733;43;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401686554&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401696934-mobile.de;mobile.de;Audi A6 Avant 3.0 TDI quattro XENON+HUD+NAVI+TEMPOM.;Audi;A6;2017;Diesel;Automatic;0;272;200;114150;EUR;24990;27066;2076;0;7.67;0;24990;27066;2076;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401696934&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401692953-mobile.de;mobile.de;Land Rover Range Rover Evoque Autobiography Navi*360°*Merid;Land Rover;Range Rover evoque;2017;Diesel;Automatic;0;179;132;74000;EUR;24950;26433;1483;0;5.61;0;24950;26433;1483;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401692953&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401635563-mobile.de;mobile.de;Seat Leon SC 2.0 TSI Start&Stop CUPRA 300 DSG CUP...;Seat;Leon;2017;Petrol;Automatic;0;300;221;80400;EUR;24998;24683;0;315;0;1.28;24998;24683;0;315;;https://suchen.mobile.de/fahrzeuge/details.html?id=401635563&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
5388180-autouncle.ch;autouncle.ch;DS Automobiles DS3 Crossback 1.2 PureTech 155 Performance Line;DS Automobiles;DS3 Crossback;2022;Petrol;Automatic;1200;156;114;35000;CHF;24900;29357;4457;0;15.18;0;26497;31239;4743;0;4wd,pilot,climate control,parking,lane warning,isofix,esp,rain sensor;https://www.autouncle.ch/en/outgoing_link/autolina-ch/5388180/7145210;2024-08-27;
400588093-mobile.de;mobile.de;Kia ProCeed GT 1.6 T-GDI DCT NAVI GLASDACH;Kia;pro_cee'd;2019;Petrol;Automatic;0;204;150;70500;EUR;24800;24904;104;0;0.42;0;24800;24904;104;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=400588093&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401682964-mobile.de;mobile.de;Opel Grandland Leder/Panorama/E-Sitze/Kamera/18-Zoll+;Opel;Grandland X;2019;Diesel;Automatic;0;131;96;63950;EUR;21290;20516;0;774;0;3.77;21290;20516;0;774;;https://suchen.mobile.de/fahrzeuge/details.html?id=401682964&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401698227-mobile.de;mobile.de;Opel GRANDLAND X ULTIMATE 1.6 -LEDER-AHK-360 GRAD-;Opel;Grandland X;2019;Petrol;Automatic;0;181;133;55000;EUR;21490;24900;3410;0;13.69;0;21490;24900;3410;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401698227&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401718120-mobile.de;mobile.de;Opel Grandland X Ultimate 1.2T Aut.*Leder*LED*Navi*Ka;Opel;Grandland X;2019;Petrol;Manual;0;131;96;38000;EUR;20990;21000;10;0;0.05;0;20990;21000;10;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401718120&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
393126262-mobile.de;mobile.de;Abarth 595 Competi*Sabelt*Monza*Beats*Zahnriemen neu*;Abarth;595C;2018;Petrol;Manual;0;179;132;64948;EUR;18999;20733;1734;0;8.36;0;18999;20733;1734;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=393126262&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401678668-mobile.de;mobile.de;Opel Grandland X 1.2 Turbo Ultimate Navi 360 ParkAss.;Opel;Grandland X;2019;Petrol;Manual;0;131;96;53347;EUR;16490;20316;3826;0;18.83;0;16490;20316;3826;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401678668&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401654567-mobile.de;mobile.de;Dacia Duster II Comfort Autom. LEDER*NAVI*KAMERA*EURO6;Dacia;Duster;2018;Diesel;Automatic;0;109;80;100000;EUR;13951;14633;682;0;4.66;0;13951;14633;682;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401654567&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
386005155-mobile.de;mobile.de;Ford EcoSport 1.0 EcoBoost Trend FRONTSCHEIBEN+LENKRA;Ford;Ecosport;2019;Petrol;Manual;0;101;74;67294;EUR;12440;12700;260;0;2.05;0;12440;12700;260;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=386005155&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401696154-mobile.de;mobile.de;Ford EcoSport Titanuim, Automatik;Ford;Ecosport;2018;Petrol;Automatic;0;125;92;43936;EUR;13790;15733;1943;0;12.35;0;13790;15733;1943;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401696154&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401723601-mobile.de;mobile.de;Ford EcoSport 1,0 EcoBoost 92kW Titanium X Titanium X;Ford;Ecosport;2019;Petrol;Manual;0;125;92;72300;EUR;14100;15300;1200;0;7.84;0;14100;15300;1200;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401723601&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401694840-mobile.de;mobile.de;Mazda CX-3 2.0 Skyactiv Sports-Line NAVI HeadUp Kam...;Mazda;CX-3;2018;Petrol;Manual;0;120;88;81500;EUR;13999;16616;2617;0;15.75;0;13999;16616;2617;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401694840&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401691174-mobile.de;mobile.de;Renault Clio TCe 130 EDC EDITION ONE+AHK+NAVI+SZH+LED;Renault;Clio;2019;Petrol;Automatic;0;131;96;51555;EUR;15989;17250;1261;0;7.31;0;15989;17250;1261;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401691174&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401643199-mobile.de;mobile.de;Seat Ibiza Style Business-Paket Front assist HU Neu;Seat;Ibiza;2019;Petrol;Manual;0;95;70;94000;EUR;11999;13966;1967;0;14.08;0;11999;13966;1967;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401643199&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
397782742-mobile.de;mobile.de;Opel Grandland X 1.2 Business INNOVATION;Opel;Grandland X;2019;Petrol;Manual;0;131;96;55228;EUR;15389;18333;2944;0;16.06;0;15389;18333;2944;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=397782742&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401707009-mobile.de;mobile.de;Opel CROSSLAND 1.5 D ULTIMATE NAVI LED DAB LEDER;Opel;Crossland X;2021;Diesel;Manual;0;110;81;63149;EUR;14150;15533;1383;0;8.90;0;14150;15533;1383;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401707009&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
400607445-mobile.de;mobile.de;Opel Crossland 1.5 D Ultimate (EURO 6d) 1.5 D EU6d Ul;Opel;Crossland X;2021;Diesel;Manual;0;110;81;68000;EUR;14950;15966;1016;0;6.36;0;14950;15966;1016;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=400607445&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401719162-mobile.de;mobile.de;Opel Grandland X 1.5 D Start/Stop Opel 2020 Geschloss;Opel;Grandland X;2020;Diesel;Manual;0;131;96;88854;EUR;17470;17916;446;0;2.49;0;17470;17916;446;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401719162&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
396833232-mobile.de;mobile.de;Opel Grandland X 1.6 DI Aut Business Elegance;Opel;Grandland X;2021;NotFound;Automatic;0;181;133;52834;EUR;18988;22950;3962;0;17.26;0;18988;22950;3962;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=396833232&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
397561038-mobile.de;mobile.de;Abarth 595 Turismo*GARANTIE*BEATS*BI-XENON*LEDER*;Abarth;595;2021;Petrol;Manual;0;165;121;54000;EUR;19799;23166;3367;0;14.53;0;19799;23166;3367;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=397561038&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401650551-mobile.de;mobile.de;Opel Grandland X 1.2 Turbo ULTIMATE *LED*Navi*DENON;Opel;Grandland X;2021;Petrol;Automatic;0;131;96;64876;EUR;19490;21633;2143;0;9.91;0;19490;21633;2143;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401650551&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
396386893-mobile.de;mobile.de;Abarth 595 Competizione*70th*Navi*Sport Paket*Monza*;Abarth;595C;2020;Petrol;Manual;0;179;132;26300;EUR;20990;24683;3693;0;14.96;0;20990;24683;3693;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=396386893&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401699085-mobile.de;mobile.de;Opel Grandland (X) Ultimate Automatik;Opel;Grandland X;2020;Petrol;Automatic;0;181;133;90890;EUR;21400;22716;1316;0;5.79;0;21400;22716;1316;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401699085&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401663989-mobile.de;mobile.de;Opel Grandland X 1,6 Turbo HYBRID ULTIMATE Tech.Paket;Opel;Grandland X;2021;NotFound;Automatic;0;224;165;25748;EUR;21849;26433;4584;0;17.34;0;21849;26433;4584;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401663989&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401650291-mobile.de;mobile.de;Kia ProCeed GT 1.6 T-GDI °Pano°LED°Navi°JBL°18°VC°;Kia;pro_cee'd;2020;Petrol;Automatic;0;204;150;91450;EUR;21980;23800;1820;0;7.65;0;21980;23800;1820;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401650291&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401667535-mobile.de;mobile.de;Kia pro cee'd / ProCeed GT;Kia;pro_cee'd;2020;Petrol;Manual;0;204;150;33660;EUR;21990;25133;3143;0;12.51;0;21990;25133;3143;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401667535&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401654616-mobile.de;mobile.de;Opel Grandland X Plug-in-Hybrid 1.6 DI Start/Stop Aut;Opel;Grandland X;2021;NotFound;Automatic;0;224;165;83728;EUR;22929;23166;237;0;1.02;0;22929;23166;237;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401654616&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401723154-mobile.de;mobile.de;Opel Grandland Ultimate Plug-in-Hybrid 4;Opel;Grandland X;2020;NotFound;Automatic;0;200;147;33939;EUR;23590;27733;4143;0;14.94;0;23590;27733;4143;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401723154&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401644214-mobile.de;mobile.de;Opel Grandland Hybrid Ultimate 4 Leder Kamera360;Opel;Grandland X;2020;NotFound;Automatic;0;300;221;84200;EUR;23790;26000;2210;0;8.50;0;23790;26000;2210;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401644214&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401644469-mobile.de;mobile.de;DS Automobiles DS7 Crossback Hybrid Performance Line LED Navi;DS Automobiles;DS7 Crossback;2021;NotFound;Automatic;0;224;165;52358;EUR;24690;29733;5043;0;16.96;0;24690;29733;5043;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401644469&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401644384-mobile.de;mobile.de;DS Automobiles DS7 Crossback PHEV BeChic AHK 19'' Kam360 Focal;DS Automobiles;DS7 Crossback;2020;NotFound;Automatic;0;224;165;71882;EUR;24990;28616;3626;0;12.67;0;24990;28616;3626;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401644384&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401654547-mobile.de;mobile.de;Kia ProCeed 1.6 T-GDi DCT GT LED|Navi|Komf.;Kia;pro_cee'd;2021;Petrol;Automatic;0;204;150;31100;EUR;24999;28816;3817;0;13.25;0;24999;28816;3817;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401654547&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401717220-mobile.de;mobile.de;Cupra Formentor 1.4 eHybrid LM19 KAMERA eKLAPPE NAVI+;Cupra;Formentor;2022;NotFound;Automatic;0;204;150;49297;EUR;24850;28816;3966;0;13.76;0;24850;28816;3966;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401717220&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401693916-mobile.de;mobile.de;Ford Kuga Hybrid ST-Line X 2.5 Duratec FHEV Allrad Un;Ford;Kuga;2022;NotFound;Automatic;0;190;140;24500;EUR;24500;34950;10450;0;29.90;0;24500;34950;10450;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401693916&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401680016-mobile.de;mobile.de;Jeep Compass S Plug-In Hybrid 4WD;Jeep;Compass;2022;NotFound;Automatic;0;179;132;47122;EUR;24900;31683;6783;0;21.41;0;24900;31683;6783;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401680016&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401644389-mobile.de;mobile.de;Peugeot 2008 1.5 BlueHDi 130 GT AHK Kamera Keyless;Peugeot;2008;2022;Diesel;Automatic;0;131;96;40019;EUR;24990;26650;1660;0;6.23;0;24990;26650;1660;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401644389&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
401685578-mobile.de;mobile.de;Opel Grandland 1.2 Elegance Matrix/Navi/360°Kamera;Opel;Grandland X;2022;Petrol;Manual;0;131;96;11901;EUR;24780;28183;3403;0;12.07;0;24780;28183;3403;0;;https://suchen.mobile.de/fahrzeuge/details.html?id=401685578&lang=de&utm_source=DirectMail&utm_medium=textlink&utm_campaign=Recommend_DES&vc=Car;2024-08-27;
